"line","YDHPL","YDHA","PLHA","DF","DPM","SW100","TSW","POM"
"A_154",614.3833252607,734.67692719049,47.4509989791776,37.9703418383482,68.4876217603553,15.5130883482349,168.488516247757,5.94136614497637
"AAB_001-b",NA,NA,NA,NA,NA,NA,NA,NA
"AAB_011",NA,NA,NA,NA,NA,NA,NA,NA
"ABD_054",698.863913979782,798.021829124511,44.1730155320813,34.1341319424406,61.4564216711432,26.474422186882,175.052608375821,6.60703038110145
"ABD_058",794.303676525345,994.784104676569,48.9268128710163,32.9931803645041,61.6955147581833,33.2107900077365,220.33864555406,8.75708331650787
"ABD_066",789.958440211686,1000.70494082463,45.1658518178561,33.4700286231117,61.2408425300148,31.239720092276,179.665538603771,9.32337255222678
"ABD_185",707.730187009488,851.501698302847,47.5232727420756,32.2972414081884,60.0896893179301,28.225012599261,160.261969483567,8.59264238091958
"ABD_206",764.165372205439,888.621294596191,42.2764451402966,32.0685643018035,61.2574023606899,29.6405835816802,167.885746338304,7.4041108358912
"ABU_001",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_002",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_003",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_004",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_005",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_006",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_007",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_008",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_009",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_010",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_011",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_012",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_013",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_014",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_015",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_016",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_017",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_018",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_019",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_020",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_021",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_022",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_023",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_024",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_025",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_026",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_027",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_028",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_029",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_030",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_031",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_032",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_033",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_034",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_035",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_036",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_037",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_038",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_039",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_041",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_042",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_043",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_044",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_045",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_046",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_047",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_048",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_049",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_050",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_051",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_052",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_054",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_055",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_056",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_057",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_058",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_059",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_060",NA,NA,NA,NA,NA,NA,NA,NA
"ABU_061",NA,NA,NA,NA,NA,NA,NA,NA
"ACC_001",636.04755820327,800.977977767594,43.2989202902136,33.2150084355275,61.211353726475,24.6309315366365,153.373469398351,6.29603082808984
"ACC_002",752.12961703425,981.100197614227,47.6564696459567,29.4261688475914,55.2171268601266,25.8929759997033,208.15561292813,9.149016598939
"ACC_003",733.335273518216,852.720330417588,54.8339139242464,31.053465843779,58.1978317689811,28.5688529934075,213.696538343816,9.85001395752027
"ACC_004",719.068749658937,874.617736365393,49.7169149428425,32.3729021057796,63.0475362373498,30.0707143327552,211.01376406226,8.41276222171916
"ACC_005",776.253455238373,926.637902302894,52.0596090212636,30.335569058634,57.4615281336634,27.3608754975623,223.950825021817,9.49203553349149
"ACC_006",710.41588916918,837.309491289139,46.2594186419727,32.0281020407662,61.4467676350644,25.3262266316152,187.945487529447,7.44656494816359
"ACC_007",806.579848566984,1001.00168526474,42.6725574052563,30.5640058561261,60.0236387494126,23.5036782502946,185.855202035075,7.95117863105064
"ACC_008",728.137895936313,816.347912095365,44.2167303397396,31.3397838246224,59.4614990213862,28.2272069482872,173.996593265088,7.43294546579027
"ACC_009",891.825403489936,961.907089791187,41.3294496118834,33.860979448694,62.3934105367018,22.6703135383711,175.949788808798,7.59854235527593
"ACC_010",735.835849092924,918.486207921169,54.4254231239198,31.2474539359818,60.6493342733133,25.7294746744633,227.556883820402,10.5243668535324
"ACC_011",867.798473751303,1073.33968411762,48.0700366577631,30.1571151350344,56.7772624546646,28.6542078056593,222.657842569261,10.7419076909486
"ACC_012",688.69233694821,836.346227884793,41.0689120041916,32.2951063381011,63.2093933030634,23.0233100970309,156.917690108571,5.19924725008551
"ACC_013",715.862166297012,825.565072346381,45.1668106855723,32.6397871649938,63.1995831876498,26.2281187634754,163.309080636737,8.02627108390998
"ACC_014",761.152872735786,901.36316731398,48.1838078072799,31.6759240970125,59.5205314164007,24.3397382291183,206.203090230709,7.9203279850233
"ACC_015",724.440842092353,790.167995848193,44.8846165327199,34.1788872941519,59.6643368255547,24.5637393286037,159.11818463166,7.61048539137096
"ACC_016",666.893008293941,765.748250344243,47.3246259312473,33.8183807689334,61.8429703028111,22.8866886309206,178.915875658541,7.0342703155718
"ACC_017",836.114378220315,959.232881132654,53.7330704182069,31.0328086551925,56.4436805205809,28.2814734170002,248.775127386002,10.5604423036081
"ACC_018",753.968892228562,988.642047824789,42.8056007753025,32.1097587044933,60.9552001183971,25.7795223876422,160.330938060932,8.31134452377635
"ACC_019",762.558866979682,896.045882500501,46.90233620662,30.6794130980204,59.6666927173314,21.4942689345382,200.893599584997,8.10099567706982
"ACC_020",695.955023335103,839.988538009662,43.4682988899966,32.0803534935229,62.1217736509787,24.0851381788013,172.203623384039,6.99060301672379
"ACC_021",NA,NA,NA,NA,NA,NA,NA,NA
"ACC_022",806.081472839435,966.02064663794,46.7611674739709,32.4617342871923,59.4112232358601,25.0782324854831,194.774321835532,9.09655300533878
"ACC_023",758.957280807737,939.101172422687,51.0865459634027,31.1950202800085,62.8441037733635,30.6756761434796,200.924107097627,10.1841497045417
"ACC_024",780.190675877195,980.457084815306,49.1392653758576,31.3460957969766,60.5371628993823,27.4457126692762,204.550034979466,9.19242389640106
"ACC_025",787.836447321104,925.184733315606,42.4879104270764,30.3260192959889,61.6658137538087,25.2621431303936,156.07668675328,8.3315318087559
